EpThisIter,EpRewMean,meankl,EpisodesSoFar,TimeElapsed,EpLenMean,TimestepsSoFar,surrgain,entloss,entropy,ev_tdlam_before,optimgain
8,2.6743371172983657,0.012951724,5188,8865.850670814514,35.05,174077,0.3189726,0.0,38.1484,0.8571666479110718,0.3189726
7,2.6850485500355368,0.013782694,5195,8879.18189573288,35.275,174308,0.40014863,0.0,38.150253,0.8772366121411324,0.40014863
7,2.7363041026917,0.0037976764,5202,8892.240441560745,35.35,174569,0.19577372,0.0,38.150227,0.9182408228516579,0.19577372
6,2.7427412829052433,0.013553822,5208,8905.170433044434,36.425,174858,0.3337304,0.0,38.149124,0.9534995146095753,0.3337304
7,2.669430178602552,0.01463497,5215,8918.205975055695,37.35,175118,0.46803853,0.0,38.149853,0.8856123611330986,0.46803853
6,2.695777096833871,0.004400584,5221,8931.202243566513,37.575,175346,0.23690178,0.0,38.150517,0.8436008393764496,0.23690178
6,2.7851133180265912,0.01488556,5227,8944.13046002388,39.75,175599,0.4941029,0.0,38.150883,0.9496742635965347,0.4941029
8,2.8657226723445475,0.0043899617,5235,8957.280960321426,39.575,175891,0.19570535,0.0,38.151016,0.9304405823349953,0.19570535
6,2.891886644586427,0.0038132514,5241,8970.21114039421,39.7,176138,0.18677017,0.0,38.15003,0.8841233029961586,0.18677017
7,2.831364487472925,0.013015965,5248,8983.422002315521,38.8,176410,0.44774625,0.0,38.147465,0.7474551200866699,0.44774625
7,2.8473903350162755,0.013126733,5255,8996.39128780365,39.2,176686,0.41763896,0.0,38.14763,0.9079286083579063,0.41763896
5,2.8176029741774222,0.013373078,5260,9009.341745853424,39.75,176896,0.44516,0.0,38.1488,0.8852225467562675,0.44516
8,2.716534271246708,0.0037573264,5268,9022.32916522026,38.425,177183,0.23360667,0.0,38.14979,0.884879395365715,0.23360667
10,2.4255887375701737,0.013548056,5278,9035.354214906693,35.575,177455,0.42367783,0.0,38.149647,0.8920525386929512,0.42367783
6,2.4432320577117834,0.013956459,5284,9048.243242740631,36.675,177697,0.35234815,0.0,38.1479,0.9247423931956291,0.35234815
6,2.4748504563239857,0.0038120337,5290,9061.248801469803,36.65,177938,0.23105174,0.0,38.146854,0.9291915819048882,0.23105174
8,2.469471276742671,0.013939474,5298,9074.350033283234,34.75,178197,0.64691335,0.0,38.145382,0.916413776576519,0.64691335
9,2.2989547946327833,0.011866585,5307,9087.373839139938,32.025,178448,0.41689634,0.0,38.146988,0.8969595432281494,0.41689634
8,2.291667069555135,0.014956311,5315,9100.379678964615,33.1,178702,0.38412935,0.0,38.14661,0.9421086795628071,0.38412935
6,2.3310959918438097,0.010204516,5321,9113.25329041481,35.125,178972,0.50171673,0.0,38.146652,0.8878626823425293,0.50171673
7,2.387684562242679,0.0147395255,5328,9126.463927268982,35.075,179254,0.6035453,0.0,38.148685,0.9451770596206188,0.6035453
7,2.3989331679292034,0.014491698,5335,9139.507726192474,35.625,179522,0.4747492,0.0,38.147587,0.9226657375693321,0.4747492
7,2.374309817073588,0.012286589,5342,9152.489037752151,36.925,179771,0.61021394,0.0,38.147205,0.8935351744294167,0.61021394
7,2.4963379127915517,0.014410044,5349,9165.35875582695,38.35,180052,0.41760713,0.0,38.14579,0.9612456597387791,0.41760713
6,2.614462693448286,0.014796467,5355,9178.706326246262,39.9,180298,0.43426424,0.0,38.145508,0.9260177314281464,0.43426424
8,2.459858287742308,0.014364444,5363,9191.758658409119,37.3,180559,0.3757116,0.0,38.1453,0.8483486920595169,0.3757116
8,2.362568781821878,0.014110747,5371,9204.808990478516,36.0,180810,0.3843528,0.0,38.144333,0.898219957947731,0.3843528
7,2.373950779898234,0.0129291015,5378,9217.805537462234,35.625,181066,0.45477632,0.0,38.142822,0.5976491570472717,0.45477632
