# {"env_id": null, "t_start": 1553348844.0599759} 
r,l,t
1.292892,72,344.092761
1.972047,41,344.421574
0.563306,64,345.356863
1.536596,53,345.78804
0.690675,56,346.250692
1.884095,26,346.468851
0.995436,33,346.734684
1.239546,43,347.080278
1.175312,53,347.919409
0.139538,72,348.506109
1.168563,49,348.904637
0.694037,42,349.253046
2.113121,50,350.111167
2.675469,78,350.754223
1.900841,36,351.064007
2.791059,38,351.381789
1.936041,37,351.681167
2.068932,33,351.950352
1.511456,25,352.15404
1.613468,38,352.877226
1.54528,42,353.227273
2.060467,38,353.544559
1.187492,33,353.809159
2.10723,36,354.105823
0.638352,58,354.577464
0.866808,39,355.334019
1.933927,38,355.653996
3.00176,64,356.17696
2.635612,38,356.494417
1.509711,33,356.762278
2.578511,51,357.176343
1.531329,28,357.950388
0.481084,38,358.265857
1.645799,53,358.694849
1.776794,45,359.066651
0.673169,39,359.384312
1.080001,19,359.538451
2.540865,45,360.285726
2.368371,35,360.574258
2.173797,39,360.894968
0.696814,47,361.27802
2.550149,43,361.631022
2.205309,42,361.989994
2.204997,65,362.921443
2.033261,60,363.419688
1.420497,46,363.797142
1.29811,46,364.173024
0.33791,48,364.564325
1.690838,23,364.746151
1.96023,40,365.544012
2.566975,50,365.954712
0.63521,52,366.387356
1.247602,43,366.735146
2.1252,68,367.294586
2.297541,47,368.069454
0.298695,23,368.2569
1.912069,70,368.832143
1.935113,33,369.100501
1.66219,40,369.426124
1.668095,32,369.688032
2.787921,47,370.495906
1.083755,26,370.715362
2.903064,51,371.13022
3.275365,52,371.560155
2.041965,36,371.853808
1.091147,27,372.076082
0.48344,64,372.987088
2.611185,46,373.363304
2.394204,80,374.018351
3.591716,62,374.52573
1.544162,28,374.760837
2.34088,37,375.455043
2.003011,47,375.835847
0.09607,64,376.360307
0.294169,58,376.83585
3.484145,56,377.29955
1.261243,38,378.005904
3.30825,49,378.404165
2.005452,43,378.754326
0.791439,28,378.991089
0.159703,50,379.408074
2.423026,47,379.788013
1.142161,47,380.568333
1.45457,62,381.085784
2.360302,48,381.483685
